date,city,count_review,avg_stars,avg_diff_precip,avg_temp
2008-01-02,Cleveland,10,3.5,0.0279999990016222,31.0
2008-01-03,Cleveland,35,4.1429,0.0,34.3
2008-01-04,Cleveland,5,5.0,0.0,37.1
2008-01-06,Cleveland,10,3.5,0.014000000059604644,49.7
2008-01-08,Cleveland,15,3.6667,0.28399999141693116,53.9
2008-01-09,Cleveland,5,4.0,0.03800000138580799,54.4
2008-01-12,Cleveland,5,5.0,0.0,45.8
2008-01-13,Cleveland,5,2.0,0.04000000059604645,44.6
2008-01-15,Cleveland,5,5.0,0.04999999888241291,38.6
2008-01-19,Cleveland,10,4.0,0.05400000214576721,35.7
2008-01-20,Cleveland,10,4.5,0.0,30.1
2008-01-22,Cleveland,10,3.5,0.030000000447034835,35.4
2008-01-24,Cleveland,5,4.0,0.017999999597668646,34.8
2008-01-25,Cleveland,5,4.0,0.015999999642372132,32.6
2008-01-26,Cleveland,10,3.5,0.015999999642372132,36.5
2008-01-27,Cleveland,5,2.0,0.27400000058114526,38.3
2008-01-28,Cleveland,10,5.0,0.0419999998062849,40.8
2008-01-29,Cleveland,10,4.5,0.025999999791383743,45.1
2008-01-30,Cleveland,10,2.0,0.06800000146031379,41.4
2008-01-31,Cleveland,25,3.6,0.020000000298023225,34.3
2008-02-01,Cleveland,5,4.0,0.42600000500679014,39.6
2008-02-03,Cleveland,10,3.0,0.010000000149011612,42.9
2008-02-04,Cleveland,15,3.3333,0.04399999864399433,44.3
2008-02-05,Cleveland,10,4.0,0.2680000104010105,48.1
2008-02-06,Cleveland,15,3.3333,0.5000000037252903,48.5
2008-02-07,Cleveland,5,4.0,0.06000000014901161,45.6
2008-02-10,Cleveland,5,2.0,0.03400000035762787,45.9
2008-02-12,Cleveland,15,4.0,0.09800000190734863,41.2
2008-02-15,Cleveland,10,4.5,0.014000000059604644,39.8
2008-02-17,Cleveland,5,4.0,0.16400000154972078,47.2
2008-02-18,Cleveland,20,3.75,0.03799999915063381,48.8
2008-02-19,Cleveland,20,2.75,0.009999999776482582,34.8
2008-02-20,Cleveland,5,3.0,0.024000000208616257,39.8
2008-02-21,Cleveland,5,5.0,0.07399999871850013,35.7
2008-02-23,Cleveland,5,5.0,0.04599999971687794,43.6
2008-02-26,Cleveland,15,4.3333,0.30000001192092896,46.5
2008-02-27,Cleveland,15,4.3333,0.2280000001192093,35.5
2008-02-28,Cleveland,5,4.0,0.020000000298023225,34.9
2008-02-29,Cleveland,5,2.0,0.023999999463558196,43.6
2008-03-02,Cleveland,10,2.5,0.0,45.3
2008-03-03,Cleveland,5,4.0,0.09399999976158142,49.4
2008-03-04,Cleveland,5,2.0,0.4179999865591526,53.0
2008-03-05,Cleveland,5,4.0,0.275999990105629,46.6
2008-03-07,Cleveland,15,5.0,0.16800000071525573,47.0
2008-03-08,Cleveland,30,4.1667,0.21000000163912774,44.4
2008-03-09,Cleveland,5,1.0,0.051999998092651364,41.5
2008-03-11,Cleveland,20,2.75,0.03200000002980232,48.6
2008-03-12,Cleveland,5,3.0,0.0019999999552965165,51.2
2008-03-15,Cleveland,10,4.5,0.42399999499320984,51.0
2008-03-18,Cleveland,15,3.6667,0.08199999928474426,50.1
2008-03-19,Cleveland,10,4.5,0.4420000076293945,55.8
2008-03-20,Cleveland,5,4.0,0.11399999856948853,53.9
2008-03-21,Cleveland,10,4.5,0.07599999904632568,50.1
2008-03-23,Cleveland,10,4.0,0.0,48.1
2008-03-25,Cleveland,5,3.0,0.0,49.7
2008-03-26,Cleveland,30,4.1667,0.0,54.9
2008-03-27,Cleveland,15,3.3333,0.18200000524520873,58.0
2008-03-30,Cleveland,5,2.0,0.011999999731779098,50.5
2008-03-31,Cleveland,25,3.6,0.04000000022351742,53.4
2008-04-01,Cleveland,10,5.0,0.03200000002980232,58.9
2008-04-03,Cleveland,5,5.0,0.09600000232458114,54.0
2008-04-04,Cleveland,5,5.0,0.28200000077486037,55.1
2008-04-05,Cleveland,5,5.0,0.16800000071525573,58.8
2008-04-06,Cleveland,10,4.0,0.003999999910593033,58.7
2008-04-07,Cleveland,5,5.0,0.0,60.7
2008-04-08,Cleveland,5,2.0,0.0,60.7
2008-04-09,Cleveland,25,4.0,0.003999999910593033,60.0
2008-04-10,Cleveland,20,3.25,0.009999999776482582,59.3
2008-04-12,Cleveland,20,3.25,0.08400000184774399,60.3
2008-04-14,Cleveland,15,5.0,0.02800000086426735,56.1
2008-04-15,Cleveland,35,4.4286,0.0,55.8
2008-04-16,Cleveland,15,3.6667,0.0,56.2
2008-04-17,Cleveland,10,4.0,0.0,59.3
